YYYYMM,SEX,MARRY,GOVT,HOM,PAGO
202009,1,5,4.045454545454546,4.257575757575758,4.196969696969697
202009,2, ,3.0,5.0,3.0
202009,2,1,3.703448275862069,4.372413793103449,4.144827586206897
202009,2,3,3.911111111111111,3.933333333333333,3.8222222222222224
202009,2,4,3.7083333333333335,4.166666666666667,4.125
202009,2,5,3.4705882352941178,4.264705882352941,3.823529411764706
202010,1, ,5.0,5.0,4.0
202010,1,1,3.9446640316205532,4.470355731225297,4.24901185770751
202010,1,3,3.725,4.45,3.925
202010,1,4,4.181818181818182,4.636363636363637,4.2727272727272725
202010,1,5,3.5945945945945947,4.378378378378378,4.148648648648648
202010,2, ,4.5,4.0,4.0
202010,2,1,3.697674418604651,4.410852713178294,4.069767441860465
202010,2,3,3.5,4.033333333333333,4.066666666666666
202010,2,4,3.8636363636363638,4.363636363636363,3.8181818181818183
202010,2,5,3.372093023255814,4.325581395348837,4.209302325581396
202011,1,1,3.822134387351779,4.339920948616601,4.24505928853755
202011,1,3,3.772727272727273,4.318181818181818,4.159090909090909
202011,1,4,3.9523809523809526,4.523809523809524,4.0476190476190474
202011,1,5,3.808219178082192,4.232876712328767,4.191780821917808
202011,2, ,1.5,4.0,4.0
202011,2,1,3.7950819672131146,4.286885245901639,3.9836065573770494
202011,2,3,3.806451612903226,4.483870967741935,3.7096774193548385
202011,2,4,3.857142857142857,4.428571428571429,4.095238095238095
202011,2,5,3.6486486486486487,3.918918918918919,4.108108108108108
202012,1, ,4.5,5.0,5.0
202012,1,1,3.9310344827586206,4.418103448275862,4.349137931034483
202012,1,3,4.0,4.176470588235294,3.764705882352941
202012,1,4,3.8333333333333335,4.333333333333333,4.25
202012,1,5,3.607594936708861,4.0886075949367084,4.227848101265823
202012,2, ,3.0,5.0,3.0
202012,2,1,3.689189189189189,4.337837837837838,4.033783783783784
202012,2,3,3.4705882352941178,4.235294117647059,4.205882352941177
202012,2,4,3.590909090909091,4.2272727272727275,3.5454545454545454
202012,2,5,3.2972972972972974,4.081081081081081,4.162162162162162
202101,1, ,1.0,3.0,4.0
202101,1,1,3.7409090909090907,4.3545454545454545,4.1454545454545455
202101,1,3,3.75,4.458333333333333,3.8958333333333335
202101,1,4,4.0,4.5,3.9
202101,1,5,3.5316455696202533,4.139240506329114,4.1645569620253164
202101,2, ,1.0,3.0,5.0
202101,2,1,3.590909090909091,4.356060606060606,4.143939393939394
202101,2,3,3.6444444444444444,4.111111111111111,4.0
202101,2,4,3.8666666666666667,4.133333333333334,3.8666666666666667
202101,2,5,3.480769230769231,3.7884615384615383,3.9423076923076925
202102,1,1,3.629166666666667,4.270833333333333,4.195833333333334
202102,1,3,3.5555555555555554,4.277777777777778,4.0
202102,1,4,3.6842105263157894,4.157894736842105,4.2105263157894735
202102,1,5,3.675675675675676,4.135135135135135,4.162162162162162
202102,2,1,3.72,4.26,3.98
202102,2,3,3.787878787878788,4.424242424242424,3.878787878787879
202102,2,4,3.7058823529411766,4.0588235294117645,3.6470588235294117
202102,2,5,3.8,4.142857142857143,4.314285714285714
202103,1, ,3.0,3.0,4.0
202103,1,1,3.6363636363636362,4.303030303030303,4.1688311688311686
202103,1,3,3.76,3.96,4.1
202103,1,4,3.473684210526316,4.368421052631579,4.157894736842105
202103,1,5,3.8088235294117645,4.264705882352941,4.279411764705882
202103,2, ,5.0,3.0,4.0
202103,2,1,4.014705882352941,4.272058823529412,4.147058823529412
202103,2,3,4.166666666666667,4.222222222222222,3.8055555555555554
202103,2,4,3.7083333333333335,4.416666666666667,4.0
202103,2,5,3.8421052631578947,4.105263157894737,4.026315789473684
202104,1,1,3.8537549407114624,4.047430830039525,4.288537549407114
202104,1,3,3.7714285714285714,4.142857142857143,4.228571428571429
202104,1,4,3.5,4.083333333333333,4.166666666666667
202104,1,5,3.825,4.1,4.3125
202104,2,1,4.152,4.184,4.272
202104,2,3,4.290322580645161,4.161290322580645,4.064516129032258
202104,2,4,3.8,4.3,4.15
202104,2,5,3.7333333333333334,4.066666666666666,4.177777777777778
202105,1,1,3.838345864661654,3.8533834586466167,4.2781954887218046
202105,1,3,3.727272727272727,4.045454545454546,4.2272727272727275
202105,1,4,3.857142857142857,3.857142857142857,4.071428571428571
202105,1,5,3.8059701492537314,3.8208955223880596,4.298507462686567
202105,2,1,3.984126984126984,3.8492063492063493,4.126984126984127
202105,2,3,4.232558139534884,3.9767441860465116,4.116279069767442
202105,2,4,3.857142857142857,4.214285714285714,4.0
202105,2,5,3.78125,3.71875,4.1875
202106,1, ,4.0,3.0,4.0
202106,1,1,3.804081632653061,3.6489795918367345,4.277551020408163
202106,1,3,3.6578947368421053,3.4473684210526314,3.710526315789474
202106,1,4,3.5,4.0,3.75
202106,1,5,3.6867469879518073,3.7228915662650603,4.313253012048193
202106,2,1,3.891304347826087,3.753623188405797,4.144927536231884
202106,2,3,4.285714285714286,3.8857142857142857,4.0
202106,2,4,4.045454545454546,4.2727272727272725,3.9545454545454546
202106,2,5,4.0,3.8275862068965516,4.379310344827586
202107,1, ,3.0,5.0,3.0
202107,1,1,3.7704918032786887,3.6352459016393444,4.241803278688525
202107,1,3,3.888888888888889,3.6944444444444446,4.027777777777778
202107,1,4,3.642857142857143,3.5,3.857142857142857
202107,1,5,3.8,3.6941176470588237,4.341176470588235
202107,2, ,3.0,3.0,4.0
202107,2,1,3.8976377952755907,3.6377952755905514,4.2047244094488185
202107,2,3,3.696969696969697,3.6666666666666665,3.6363636363636362
202107,2,4,3.5714285714285716,4.190476190476191,4.0476190476190474
202107,2,5,3.8095238095238093,3.4047619047619047,3.9761904761904763
202108,1,1,3.7046413502109705,3.6582278481012658,4.181434599156118
202108,1,3,3.6222222222222222,3.533333333333333,4.022222222222222
202108,1,4,3.6842105263157894,3.736842105263158,3.8947368421052633
202108,1,5,3.88,3.506666666666667,4.16
202108,2,1,3.8740740740740742,3.696296296296296,4.0
202108,2,3,4.0285714285714285,3.742857142857143,3.914285714285714
202108,2,4,3.7222222222222223,4.388888888888889,3.888888888888889
202108,2,5,3.9166666666666665,3.611111111111111,4.0
202109,1,1,3.6885245901639343,3.5040983606557377,4.114754098360656
202109,1,3,3.4615384615384617,3.58974358974359,4.0256410256410255
202109,1,4,3.7,4.4,4.0
202109,1,5,3.6956521739130435,3.608695652173913,4.36231884057971
202109,2,1,3.825174825174825,3.7202797202797204,4.160839160839161
202109,2,3,4.135135135135135,3.5945945945945947,4.054054054054054
202109,2,4,3.888888888888889,3.6666666666666665,4.111111111111111
202109,2,5,3.86046511627907,3.7906976744186047,4.209302325581396
202110,1,1,3.53125,3.7578125,4.03515625
202110,1,3,3.6578947368421053,3.763157894736842,4.105263157894737
202110,1,4,3.5,3.5,3.8333333333333335
202110,1,5,3.9014084507042255,3.704225352112676,4.380281690140845
202110,2,1,3.827067669172932,3.7142857142857144,4.2406015037593985
202110,2,3,3.6,3.8,3.8857142857142857
202110,2,4,3.6666666666666665,3.933333333333333,3.933333333333333
202110,2,5,3.8863636363636362,3.772727272727273,4.318181818181818
202111,1,1,3.6025641025641026,3.6709401709401708,4.196581196581197
202111,1,3,3.525,3.825,4.075
202111,1,4,3.6,3.8,3.9
202111,1,5,3.617283950617284,3.567901234567901,4.222222222222222
202111,2,1,3.673611111111111,3.5069444444444446,3.9305555555555554
202111,2,3,3.9215686274509802,3.5686274509803924,4.117647058823529
202111,2,4,3.75,4.0625,4.0
202111,2,5,3.6153846153846154,3.8461538461538463,4.115384615384615
202112,1,1,3.5724907063197024,3.7397769516728623,4.152416356877324
202112,1,3,3.630434782608696,3.847826086956522,3.9565217391304346
202112,1,4,3.727272727272727,3.909090909090909,3.8181818181818183
202112,1,5,3.6621621621621623,3.7837837837837838,4.364864864864865
202112,2,1,3.8448275862068964,3.75,4.068965517241379
202112,2,3,4.0285714285714285,3.7142857142857144,4.0
202112,2,4,3.75,3.875,3.6875
202112,2,5,3.7777777777777777,3.75,3.9722222222222223
202201,1, ,4.0,4.0,5.0
202201,1,1,3.5725490196078433,3.8784313725490196,4.137254901960785
202201,1,3,3.7142857142857144,3.7142857142857144,4.0
202201,1,4,3.6,3.6,4.1
202201,1,5,3.5256410256410255,3.628205128205128,4.076923076923077
202201,2,1,3.634920634920635,3.7142857142857144,4.007936507936508
202201,2,3,3.78125,3.75,3.90625
202201,2,4,3.5454545454545454,3.727272727272727,3.8181818181818183
202201,2,5,3.4857142857142858,3.5714285714285716,4.171428571428572
202202,1,1,3.503875968992248,3.7751937984496124,3.9651162790697674
202202,1,3,3.5869565217391304,3.5434782608695654,4.0
202202,1,4,3.25,3.5,3.65
202202,1,5,3.6527777777777777,3.7777777777777777,4.125
202202,2,1,3.6466165413533833,3.7518796992481205,3.954887218045113
202202,2,3,3.761904761904762,3.9523809523809526,3.8095238095238093
202202,2,4,3.8333333333333335,3.8333333333333335,3.9166666666666665
202202,2,5,3.6842105263157894,3.3684210526315788,3.763157894736842
202203,1, ,3.0,3.0,4.0
202203,1,1,3.558333333333333,3.6375,3.8375
202203,1,3,3.4,3.6857142857142855,3.8285714285714287
202203,1,4,3.5,4.6,4.0
202203,1,5,3.5846153846153848,3.6153846153846154,4.153846153846154
202203,2,1,3.6423357664233578,3.510948905109489,3.9416058394160585
202203,2,3,4.027777777777778,3.638888888888889,3.9722222222222223
202203,2,4,3.8461538461538463,3.6923076923076925,3.6923076923076925
202203,2,5,3.673076923076923,3.5,4.173076923076923
202204,1, ,4.0,3.0,5.0
202204,1,1,3.596774193548387,3.5806451612903225,3.931451612903226
202204,1,3,3.693877551020408,3.816326530612245,3.938775510204082
202204,1,4,3.5,3.357142857142857,3.5714285714285716
202204,1,5,3.803030303030303,3.484848484848485,4.287878787878788
202204,2,1,3.6875,3.6171875,3.921875
202204,2,3,3.75,3.55,4.025
202204,2,4,3.7222222222222223,3.388888888888889,3.6666666666666665
202204,2,5,3.6666666666666665,3.4444444444444446,4.222222222222222
202205,1, ,4.0,3.0,4.0
202205,1,1,3.595918367346939,3.4326530612244897,3.951020408163265
202205,1,3,3.8285714285714287,3.5142857142857142,3.7714285714285714
202205,1,4,3.4285714285714284,4.0,3.4285714285714284
202205,1,5,3.475609756097561,3.3902439024390243,4.146341463414634
202205,2,1,3.5474452554744524,3.386861313868613,3.8686131386861313
202205,2,3,3.8974358974358974,3.5128205128205128,3.6923076923076925
202205,2,4,3.6842105263157894,3.3157894736842106,4.105263157894737
202205,2,5,3.3793103448275863,3.2758620689655173,4.0344827586206895
202206,1,1,3.435251798561151,3.420863309352518,3.683453237410072
202206,1,3,3.3947368421052633,3.526315789473684,3.6578947368421053
202206,1,4,3.4545454545454546,3.727272727272727,3.4545454545454546
202206,1,5,3.513157894736842,3.4078947368421053,4.078947368421052
202206,2,1,3.7416666666666667,3.4,3.6666666666666665
202206,2,3,3.4594594594594597,3.4324324324324325,3.5135135135135136
202206,2,4,4.0,3.75,3.5
202206,2,5,3.411764705882353,3.323529411764706,3.6470588235294117
202207,1, ,5.0,3.0,3.0
202207,1,1,3.5229007633587788,3.5572519083969465,3.7251908396946565
202207,1,3,3.395348837209302,3.302325581395349,3.627906976744186
202207,1,4,3.5454545454545454,3.6363636363636362,3.5454545454545454
202207,1,5,3.44,3.48,4.04
202207,2,1,3.5808823529411766,3.338235294117647,3.75
202207,2,3,3.6666666666666665,3.2962962962962963,3.5555555555555554
202207,2,4,3.6470588235294117,3.588235294117647,3.4705882352941178
202207,2,5,3.4827586206896552,3.6206896551724137,3.8275862068965516
202208,1, ,5.0,3.0,4.0
202208,1,1,3.618320610687023,3.5,3.7748091603053435
202208,1,3,3.697674418604651,3.441860465116279,3.744186046511628
202208,1,4,3.388888888888889,3.3333333333333335,3.3333333333333335
202208,1,5,3.5441176470588234,3.3676470588235294,4.029411764705882
202208,2,1,3.6640625,3.3828125,3.8125
202208,2,3,3.878787878787879,3.484848484848485,3.727272727272727
202208,2,4,3.3333333333333335,3.8333333333333335,3.5
202208,2,5,3.4594594594594597,3.324324324324324,3.6486486486486487
202209,1,1,3.597609561752988,3.50597609561753,3.800796812749004
202209,1,3,3.5806451612903225,3.3225806451612905,3.5161290322580645
202209,1,4,3.4285714285714284,4.214285714285714,3.9285714285714284
202209,1,5,3.625,3.2777777777777777,3.9583333333333335
202209,2,1,3.7293233082706765,3.443609022556391,3.7293233082706765
202209,2,3,4.0588235294117645,3.6470588235294117,3.8823529411764706
202209,2,4,3.727272727272727,3.909090909090909,3.590909090909091
202209,2,5,3.7954545454545454,3.409090909090909,4.068181818181818
202210,1,1,3.5375494071146245,3.3873517786561265,3.7628458498023716
202210,1,3,3.8333333333333335,3.5208333333333335,3.8958333333333335
202210,1,4,3.3076923076923075,3.4615384615384617,3.3076923076923075
202210,1,5,3.6538461538461537,3.5384615384615383,3.9615384615384617
202210,2,1,3.675213675213675,3.41025641025641,3.700854700854701
202210,2,3,3.933333333333333,3.533333333333333,3.8666666666666667
202210,2,4,3.8461538461538463,3.1538461538461537,3.5384615384615383
202210,2,5,3.8181818181818183,3.090909090909091,3.787878787878788
202211,1,1,3.479553903345725,3.2527881040892193,3.7657992565055762
202211,1,3,3.962962962962963,3.3703703703703702,3.740740740740741
202211,1,4,3.4444444444444446,3.5555555555555554,3.4444444444444446
202211,1,5,3.6025641025641026,3.3846153846153846,3.9358974358974357
202211,2, ,5.0,3.0,5.0
202211,2,1,3.7071428571428573,3.3285714285714287,3.6357142857142857
202211,2,3,3.914285714285714,3.5428571428571427,3.7142857142857144
202211,2,4,3.6666666666666665,3.3333333333333335,3.25
202211,2,5,3.903225806451613,3.3225806451612905,4.193548387096774
202212,1,1,3.62890625,3.30859375,3.65625
202212,1,3,3.619047619047619,3.261904761904762,3.7142857142857144
202212,1,4,3.2222222222222223,3.6666666666666665,3.888888888888889
202212,1,5,3.776315789473684,3.263157894736842,3.9078947368421053
202212,2,1,3.712,3.336,3.784
202212,2,3,3.725,3.225,3.375
202212,2,4,3.5,3.2857142857142856,3.4285714285714284
202212,2,5,3.763157894736842,3.5789473684210527,3.8947368421052633
